time;distance;;f';;f''
2,568922;0,2623815;2,574544;0,03501423;2,5801115;0,57123504
2,580166;0,2627752;2,585679;0,041374932;2,59119925;-1,741869087
2,591192;0,2632314;2,5967195;0,022143826;2,602183;-0,646023269
2,602247;0,2634762;2,6076465;0,01508473;2,61314925;0,86446906
2,613046;0,2636391;2,618652;0,024598644;2,624183;0,16717618
2,624258;0,2639149;2,629714;0,026447947;2,6351775;0,223367675
2,63517;0,2642035;2,640641;0,028888686;2,64618025;-0,141547409
2,646112;0,2645196;2,6517195;0,027320553;2,65735025;-0,293225483
2,657327;0,264826;2,662981;0,024018394;2,668556;-0,055565788
2,668635;0,2650976;2,674131;0,023398836;2,6796855;-0,021452453
2,679627;0,2653548;2,68524;0,02316052;2,6908385;-1,020860724
2,690853;0,2656148;2,696437;0,011729943;2,70201475;-0,328277299
2,702021;0,2657458;2,7075925;0,008067845;2,71316725;1,061995973
2,713164;0,2658357;2,718742;0,019908569;2,72431025;0,265551269
2,72432;0,2660578;2,7298785;0,022865881;2,73556525;-1,652860874
2,735437;0,266312;2,741252;0,004067068;2,7468225;2,729981109
2,747067;0,2663593;2,752393;0,034481787;2,757837;-0,391150447
2,757719;0,2667266;2,763281;0,030222941;2,768787;-0,129383968
2,768843;0,2670628;2,774293;0,028798165;2,77983925;-1,754987138
2,779743;0,2673767;2,7853855;0,00933097;2,791006;-0,026050627
2,791028;0,267482;2,7966265;0,009038135;2,802217;0,703237169
2,802225;0,2675832;2,8078075;0,01690103;2,81348975;1,010176689
2,81339;0,2677719;2,819172;0,028381183;2,82474975;0,262640005
2,824954;0,2681001;2,8303275;0,031311064;2,8357605;-1,799150617
2,835701;0,2684366;2,8411935;0,011761493;2,84678725;0,931026199
2,846686;0,2685658;2,852381;0,022177349;2,8579395;1,36710971
2,858076;0,2688184;2,863498;0,037375507;2,868951;-2,008364587
2,86892;0,2692237;2,874404;0,015472283;2,879902;2,254857025
2,879888;0,2693934;2,8854;0,040266691;2,8909475;-2,575076177
2,890912;0,2698373;2,896495;0,011696221;2,90201875;0,128973379
2,902078;0,2699679;2,9075425;0,013121054;2,91300425;1,442565247
2,913007;0,2701113;2,918466;0,028878916;2,92416325;-2,123413281
2,923925;0,2704266;2,9298605;0,004683683;2,93548825;2,321050842
2,935796;0,2704822;2,941116;0,030808271;2,94648175;-1,653403644
2,946436;0,27081;2,9518475;0,013064769;2,95739;1,926786296
2,957259;0,2709514;2,9629325;0,034423196;2,9685035;-2,046499092
2,968606;0,271342;2,9740745;0,011621103;2,9795515;0,715655734
2,979543;0,2714691;2,9850285;0,019460396;2,990568;-0,974686881
2,990514;0,2716826;2,9961075;0,00866184;3,00173175;2,944765118
3,001701;0,2717795;3,007356;0,04178603;3,01296025;-1,764900614
3,013011;0,2722521;3,0185645;0,022004142;3,0240525;-0,537111482
3,024118;0,2724965;3,0295405;0,016108806;3,035115;-0,431469739
3,034963;0,2726712;3,0406895;0,01129835;3,0462925;0,728636884
3,046416;0,2728006;3,0518955;0,019463455;3,05741775;-0,048226455
3,057375;0,2730139;3,06294;0,018930818;3,06857525;-0,483793518
3,068505;0,2732246;3,0742105;0,013478223;3,079879;0,005441181
3,079916;0,2733784;3,0855475;0,013539909;3,091154;1,42967934
3,091179;0,2735309;3,0967605;0,029570904;3,10226425;0,558347914
3,102342;0,273861;3,107768;0,035716919;3,113244;-1,727865045
3,113194;0,2742486;3,11872;0,016793341;3,12425725;-0,426837901
3,124246;0,2744342;3,1297945;0,012066324;3,13534775;0,182008476
3,135343;0,2745681;3,140901;0,014087801;3,14661175;0,050711937
3,146459;0,2747247;3,1523225;0,014667008;3,15799475;1,556149379
3,158186;0,2748967;3,163667;0,032320744;3,16907875;-0,412862312
3,169148;0,275251;3,1744905;0,027852129;3,17998825;-0,486635662
3,179833;0,2755486;3,185486;0,022501327;3,1910635;-0,197186756
3,191139;0,275803;3,196641;0,020301708;3,2021955;-0,996685026
3,202143;0,2760264;3,20775;0,009229535;3,21330075;0,756400767
3,213357;0,2761299;3,2188515;0,017626718;3,22440175;-0,126393291
3,224346;0,2763236;3,229952;0,016223689;3,23550025;1,91010586
3,235558;0,2765055;3,2410485;0,037419179;3,24655475;-2,214708667
3,246539;0,2769164;3,252061;0,013029699;3,257575;1,707974115
3,257583;0,2770603;3,263089;0,031865238;3,26858525;-0,621429441
3,268595;0,2774112;3,2740815;0,025034175;3,27959325;-0,218952433
3,279568;0,2776859;3,285105;0,022620553;3,29060075;-0,852062247
3,290642;0,2779364;3,2960965;0,01325511;3,30167325;0,316361303
3,301551;0,278081;3,30725;0,016783646;3,31284;0,656991266
3,312949;0,2782723;3,31843;0,024128809;3,323954;-0,632071752
3,323911;0,2785368;3,329478;0,01714568;3,335051;2,773149751
3,335045;0,2787277;3,340624;0,048055207;3,346198;-3,481930798
3,346203;0,2792639;3,351772;0,009238642;3,3574125;2,089307753
3,357341;0,2793668;3,363053;0,032808123;3,368721;-1,868330033
3,368765;0,2797416;3,374389;0,011628734;3,37991425;1,052215603
3,380013;0,2798724;3,3854395;0,023256243;3,390919;-0,852953857
3,390866;0,2801248;3,3963985;0,013908721;3,401966;-0,228001531
3,401931;0,2802787;3,4075335;0,011369924;2,55705075;-0,04161463
3,413136;0,2804061;1,706568;0,082154974;0,853284;0,048140463
