time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;;;;;;
(1.61, 0.91, 4.55);(3.07, 1.98, 3.70);;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
0,7444028;-0,197130279;0,000487117;(0.1717967000, 1.2626230000);(-0.0942748200, 1.4573370000, -0.1095645000);1,479934;2,988245;;;0,1717967;1,262623;;;0,000486817;;-0,166586224
0,7554887;-0,197266258;0,000135979;(0.1719327000, 1.2626210000);(-0.0938271900, 1.4575410000, -0.1097618000);1,479801;2,988114;;;0,1719327;1,262621;;;0,000136015;;-0,166722239
0,7666303;-0,197481124;0,000214865;(0.1721376000, 1.2625560000);(-0.0938271900, 1.4575410000, -0.1097618000);1,479586;2,987931;;;0,1721376;1,262556;;;0,000214963;;-0,166937202
0,7777285;-0,19710638;0,000374744;(0.1718870000, 1.2622780000);(-0.0934907800, 1.4576920000, -0.1099846000);1,479765;2,988241;;;0,171887;1,262278;;;0,000374278;;-0,16731148
0,788748;-0,196836292;0,000270088;(0.1716910000, 1.2620920000);(-0.0934907800, 1.4576920000, -0.1099846000);1,479912;2,988476;;;0,171691;1,262092;;;0,000270207;;-0,167041273
0,7997219;-0,196481115;0,000355177;(0.1713775000, 1.2619250000);(-0.0929727000, 1.4577860000, -0.1102401000);1,480177;2,98882;;;0,1713775;1,261925;;;0,000355206;;-0,166686067
0,8107128;-0,196781103;0,000299988;(0.1714402000, 1.2616310000);(-0.0929727000, 1.4577860000, -0.1102401000);1,480048;2,98883;;;0,1714402;1,261631;;;0,000300612;;-0,166385456
0,8218104;-0,19694597;0,000164867;(0.1714396000, 1.2614670000);(-0.0925272400, 1.4579850000, -0.1104842000);1,480009;2,98887;;;0,1714396;1,261467;;;0,000164001;;-0,166549457
0,8330306;-0,197161969;0,000215999;(0.1715317000, 1.2612710000);(-0.0925272400, 1.4579850000, -0.1104842000);1,479874;2,988828;;;0,1715317;1,261271;;;0,00021656;;-0,166766017
0,8439274;-0,197297181;0,000135212;(0.1715814000, 1.2611450000);(-0.0920767800, 1.4582770000, -0.1106899000);1,479796;2,98881;;;0,1715814;1,261145;;;0,000135448;;-0,166901465
0,8551512;-0,19675909;0,000538091;(0.1710595000, 1.2610140000);(-0.0920767800, 1.4582770000, -0.1106899000);1,480273;2,989348;;;0,1710595;1,261014;;;0,00053809;;-0,167439555
0,8551512;-0,19675909;0;(0.1710595000, 1.2610140000);(-0.0915712700, 1.4585370000, -0.1110786000);1,480273;2,989348;;;0,1710595;1,261014;;;0;;-0,167439555
0,8775892;-0,196381622;0,000377468;(0.1706986000, 1.2611250000);(-0.0915712700, 1.4585370000, -0.1110786000);1,48065;2,989672;;;0,1706986;1,261125;;;0,000377584;;-0,16706197
0,8884202;-0,196123109;0,000258513;(0.1705584000, 1.2613420000);(-0.0910860600, 1.4586920000, -0.1113716000);1,480837;2,989756;;;0,1705584;1,261342;;;0,000258351;;-0,16680362
0,8994837;-0,196029837;9,32721E-05;(0.1704928000, 1.2614080000);(-0.0910860600, 1.4586920000, -0.1113716000);1,480916;2,989803;;;0,1704928;1,261408;;;9,30557E-05;;-0,166710564
0,9106675;-0,195761345;0,000268493;(0.1704527000, 1.2616740000);(-0.0906016200, 1.4589510000, -0.1118017000);1,481017;2,989779;;;0,1704527;1,261674;;;0,000269006;;-0,166441559
0,9219767;-0,195537828;0,000223516;(0.1703513000, 1.2618730000);(-0.0906016200, 1.4589510000, -0.1118017000);1,481163;2,989829;;;0,1703513;1,261873;;;0,000223345;;-0,166218214
0,9331127;-0,19534622;0,000191608;(0.1703216000, 1.2620620000);(-0.0901149800, 1.4591330000, -0.1121629000);1,481236;2,989812;;;0,1703216;1,262062;;;0,000191319;;-0,166026894
0,9441835;-0,195654097;0,000307876;(0.1705080000, 1.2623070000);(-0.0901149800, 1.4591330000, -0.1121629000);1,481112;2,989572;;;0,170508;1,262307;;;0,000307847;;-0,165719047
0,9555725;-0,195349879;0,000304218;(0.1705521000, 1.2626080000);(-0.0896733400, 1.4593710000, -0.1125304000);1,48114;2,989457;;;0,1705521;1,262608;;;0,000304213;;-0,16602326
0,9555725;-0,195349879;0;(0.1705521000, 1.2626080000);(-0.0896733400, 1.4593710000, -0.1125304000);1,48114;2,989457;;;0,1705521;1,262608;;;0;;-0,16602326
0,9777445;-0,195824316;0,000474437;(0.1708006000, 1.2630120000);(-0.0890371200, 1.4596040000, -0.1129431000);1,480993;2,989118;;;0,1708006;1,263012;;;0,000474308;;-0,165548952
0,9777445;-0,195824316;0;(0.1708006000, 1.2630120000);(-0.0890371200, 1.4596040000, -0.1129431000);1,480993;2,989118;;;0,1708006;1,263012;;;0;;-0,165548952
0,989077;-0,195309658;0,000514658;(0.1706942000, 1.2635160000);(-0.0885634400, 1.4597850000, -0.1133725000);1,481215;2,989101;;;0,1706942;1,263516;;;0,000515109;;-0,165033843
1,000569;-0,195639646;0,000329988;(0.1708246000, 1.2638190000);(-0.0885634400, 1.4597850000, -0.1133725000);1,48116;2,988901;;;0,1708246;1,263819;;;0,000329868;;-0,164703975
1,022251;-0,195086657;0,000552989;(0.1707886000, 1.2643710000);(-0.0885634400, 1.4597850000, -0.1133725000);1,481325;2,988804;;;0,1707886;1,264371;;;0,000553173;;-0,165257148
1,033253;-0,195373371;0,000286714;(0.1709762000, 1.2645880000);(-0.0885634400, 1.4597850000, -0.1133725000);1,481194;2,988569;;;0,1709762;1,264588;;;0,00028685;;-0,164970298
1,044372;-0,195613627;0,000240256;(0.1712139000, 1.2645530000);(-0.0880987600, 1.4599540000, -0.1137682000);1,480955;2,988347;;;0,1712139;1,264553;;;0,000240263;;-0,165210561
1,055352;-0,195844025;0,000230398;(0.1713907000, 1.2647010000);(-0.0880987600, 1.4599540000, -0.1137682000);1,480818;2,98814;;;0,1713907;1,264701;;;0,000230569;;-0,16544113
1,0663;-0,195923708;7,96827E-05;(0.1714253000, 1.2647720000);(-0.0876860000, 1.4601130000, -0.1141658000);1,480801;2,988089;;;0,1714253;1,264772;;;7,8982E-05;;-0,165520112
1,077481;-0,195722481;0,000201227;(0.1714246000, 1.2649740000);(-0.0876860000, 1.4601130000, -0.1141658000);1,480849;2,988042;;;0,1714246;1,264974;;;0,000202001;;-0,165722114
1,088691;-0,195526987;0,000195494;(0.1713966000, 1.2651670000);(-0.0872620900, 1.4602500000, -0.1145613000);1,480922;2,988022;;;0,1713966;1,265167;;;0,000195021;;-0,165527093
1,099553;-0,195310339;0,000216648;(0.1713558000, 1.2653800000);(-0.0872620900, 1.4602500000, -0.1145613000);1,481012;2,988011;;;0,1713558;1,26538;;;0,000216872;;-0,165310221
1,110829;-0,195032521;0,000277818;(0.1712356000, 1.2656300000);(-0.0865389700, 1.4604410000, -0.1153167000);1,481188;2,988068;;;0,1712356;1,26563;;;0,000277395;;-0,165032826
1,12196;-0,194886447;0,000146073;(0.1711412000, 1.2657420000);(-0.0865389700, 1.4604410000, -0.1153167000);1,481306;2,988132;;;0,1711412;1,265742;;;0,000146476;;-0,164886349
1,133182;-0,194694084;0,000192363;(0.1709787000, 1.2658450000);(-0.0861728500, 1.4605670000, -0.1157317000);1,481489;2,988266;;;0,1709787;1,265845;;;0,000192393;;-0,164693956
1,144328;-0,194533118;0,000160966;(0.1708549000, 1.2659470000);(-0.0861728500, 1.4605670000, -0.1157317000);1,481633;2,988361;;;0,1708549;1,265947;;;0,000160407;;-0,164533549
1,144328;-0,194533118;0;(0.1708549000, 1.2659470000);(-0.0859890600, 1.4606830000, -0.1161288000);1,481633;2,988361;;;0,1708549;1,265947;;;0;;-0,164533549
1,155647;-0,194325931;0,000207187;(0.1707759000, 1.2661390000);(-0.0859890600, 1.4606830000, -0.1161288000);1,481755;2,988392;;;0,1707759;1,266139;;;0,000207617;;-0,164325931
